"name","value","year"
"A 農、林、漁、牧業",132685,"1981"
"AA.農耕業",83993,"1981"
"AB.畜牧業",15011,"1981"
"AC.林業",9150,"1981"
"AD.漁業",24531,"1981"
"B 礦業及土石採取業",37546,"1981"
"C 製造業",589620,"1981"
"CA.食品製造業",42005,"1981"
"CB.飲料及菸草製造業",35652,"1981"
"CC.紡織業",60754,"1981"
"CD.成衣及服飾品製造業",34607,"1981"
"CE.皮革、毛皮及其製品製造業",25315,"1981"
"CF.木竹製品製造業",11264,"1981"
"CG.紙漿、紙及紙製品製造業",18735,"1981"
"CH.印刷及資料儲存媒體複製業",8414,"1981"
"CI.石油及煤製品製造業",22513,"1981"
"CJ.化學材料製造業",35808,"1981"
"CK.化學製品製造業",5415,"1981"
"CL.藥品製造業",2191,"1981"
"CM.橡膠製品製造業",5981,"1981"
"CN.塑膠製品製造業",18633,"1981"
"CO.非金屬礦物製品製造業",29252,"1981"
"CP.基本金屬製造業",25090,"1981"
"CQ.金屬製品製造業",25983,"1981"
"CR.電子零組件製造業",22980,"1981"
"CS.電腦、電子產品及光學製品製造業",25480,"1981"
"CT.電力設備製造業",26346,"1981"
"CU.機械設備製造業",17008,"1981"
"CV.汽車及其零件製造業",19731,"1981"
"CW.其他運輸工具製造業",21812,"1981"
"CX.家具製造業",8347,"1981"
"CY.其他製造業",40304,"1981"
"D 電力及燃氣供應業",54959,"1981"
"DA.電力供應業",53671,"1981"
"DB.氣體燃料供應業",1288,"1981"
"E 用水供應及污染整治業",13478,"1981"
"EA.用水供應業",3940,"1981"
"EB.污染整治業",9538,"1981"
"F 營造業",98700,"1981"
"G 批發及零售業",227427,"1981"
"GA.批發業",112838,"1981"
"GB.零售業",114589,"1981"
"H 運輸及倉儲業",77593,"1981"
"HA.陸上運輸業",43555,"1981"
"HB.水上運輸業",5688,"1981"
"HC.航空運輸業",6331,"1981"
"HD.運輸輔助及倉儲業",18551,"1981"
"HE.郵政及快遞業",3468,"1981"
"I 住宿及餐飲業",15686,"1981"
"IA住宿服務業",4907,"1981"
"IB.餐飲業",10779,"1981"
"J 資訊及通訊傳播業",33603,"1981"
"JA.傳播業",8270,"1981"
"JB.電信業",24581,"1981"
"JC.資訊業",752,"1981"
"K 金融及保險業",73230,"1981"
"KA.金融中介業",58849,"1981"
"KB.保險業",14183,"1981"
"KC.證券期貨及其他金融業",198,"1981"
"L 不動產業",88301,"1981"
"LA.不動產業",9595,"1981"
"LB.住宅服務",78706,"1981"
"M 專業、科學及技術服務業",17892,"1981"
"N 支援服務業",10834,"1981"
"NA.租賃業",8055,"1981"
"NB.其他支援服務業",2779,"1981"
"O 公共行政及國防",156308,"1981"
"P 教育服務業",47536,"1981"
"Q 醫療保健及社會工作服務業",13011,"1981"
"QA.醫療保健服務業",12283,"1981"
"QB.社會工作服務業",728,"1981"
"R 藝術、娛樂及休閒服務業",8981,"1981"
"S 其他服務業",37189,"1981"
"SA.對家庭服務之非營利機構",3433,"1981"
"SB.家事服務業",8121,"1981"
"SC.未分類其他服務業",25635,"1981"
"合 計",1734579,"1981"
"進口稅",76250,"1981"
"加值型營業稅",0,"1981"
"總 計(生產面)",1810829,"1981"
"統計差異",0,"1981"
"GDP",1810829,"1981"
"補充項目:ICT產業",73793,"1981"
"A 農、林、漁、牧業",149631,"1982"
"AA.農耕業",95376,"1982"
"AB.畜牧業",19943,"1982"
"AC.林業",7602,"1982"
"AD.漁業",26710,"1982"
"B 礦業及土石採取業",37296,"1982"
